product_id,product_name,category,unit_price,weight_kg,stock_quantity,is_active,created_date,sku,cost_price,supplier_code,warehouse_bin,reorder_threshold
PROD-a356a9d8-55c7-44dc-b6fb-19374a8cd059,Face-To-Face Neutral Utilization,Automotive,169.87,13.623,395,False,2025-03-17,SKU-PYL-3861,94.2,SUP-8890,BIN-RW-26,9
PROD-92f4dbe6-bba9-4038-bacc-fce41ab0f783,Upgradable Contextually-Based Process Improvement,Clothing,72.07,11.902,317,True,2023-12-15,SKU-BGY-4101,26.93,SUP-7294,BIN-MW-35,20
PROD-0761e783-6c83-446e-b9bf-5dd522ec8248,Optional Optimizing Standardization,Sports,41.14,12.721,61,True,2025-03-30,SKU-NIG-8836,23.08,SUP-1059,BIN-XG-64,19
PROD-dffa679f-f79e-48ac-8d43-4963c955fbdb,Seamless Zero-Defect Alliance,Home & Garden,58.12,12.29,475,True,2023-07-15,SKU-QOE-8350,31.62,SUP-2910,BIN-MU-41,22
PROD-840c6836-d1f1-42cc-a317-6e0c83d127d9,Customer-Focused Logistical Productivity,Sports,99.89,2.304,440,True,2025-06-02,SKU-XYI-1440,53.99,SUP-4637,BIN-DU-01,13
PROD-dc0255ad-9725-4d41-a42f-facc27521291,Implemented Exuding Task-Force,Toys,58.09,15.924,479,True,2025-05-26,SKU-XHJ-6917,29.08,SUP-7965,BIN-BC-97,31
PROD-4d7d62b4-4010-446a-bd5c-a23b41ee566c,Multi-Lateral Local Initiative,Electronics,184.09,18.93,314,True,2024-10-18,SKU-AUD-8987,94.34,SUP-6382,BIN-RY-40,13
PROD-041ed210-d45d-46f5-a440-02d8e138cd55,Public-Key Bandwidth-Monitored Monitoring,Home & Garden,361.75,17.198,100,True,2024-08-26,SKU-MUW-8795,232.56,SUP-2474,BIN-SA-16,46
PROD-bfcf306f-bdeb-4277-aa77-13e640fee633,Organic Fault-Tolerant Portal,Clothing,80.81,18.257,134,True,2023-04-28,SKU-BRV-2641,43.27,SUP-0932,BIN-AN-48,7
PROD-02eaf9e9-f628-4e69-97d9-c496fd1aa771,Ameliorated Methodical Interface,Automotive,156.03,11.94,229,True,2025-11-25,SKU-RAO-2389,89.26,SUP-3488,BIN-MP-32,36
